OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
5053,106648,1066.48,8534183.94479799,13655.9663913212
5054,106649,1066.49,11975572.9448173,20764.1805146106
5055,107010,1070.10,7369001.02615066,12974.1186458698
5056,107020,1070.20,10697864.2095711,14666.2688068167
5057,108101,1081.01,12147387.6432478,14665.5844306066
5058,108102,1081.02,23504175.0499877,18955.3382261013
5059,108103,1081.03,27606102.2909922,36634.5332898398
5060,108104,1081.04,8890331.61898257,14765.7392079202
5061,108202,1082.02,64352782.1331899,35898.2314152933
5062,108203,1082.03,14770769.8909537,16693.5650757265
5063,108204,1082.04,15420095.8866173,22338.8768598896
5064,109100,1091.00,29123462.7084996,26332.2283780094
5065,109200,1092.00,10945273.3609799,16021.0511675499
5066,109300,1093.00,13271683.3541877,17491.5495366199
5067,109400,1094.00,13893160.9002662,17559.4018253688
5068,109500,1095.00,12856453.7654562,20586.1265910658
5069,109601,1096.01,24194049.1042857,20083.1761257646
5070,109603,1096.03,10751114.5566091,13424.2843403598
5071,109604,1096.04,12645174.2497356,14357.4695878412
5072,109700,1097.00,17079329.3475845,17939.9053525641
5073,109800,1098.00,15061830.2647917,16580.2293758293
5074,111100,1111.00,11400603.0747043,13561.9651441413
5075,111201,1112.01,20587432.4262628,25205.245882682
5076,111202,1112.02,20091109.9988464,20759.9587898492
5077,111204,1112.04,35639243.4890838,25934.6482658313
5078,111205,1112.05,12474960.6600948,14717.2703286461
5079,111206,1112.06,28228463.0835149,24118.1239721044
5080,111302,1113.02,16712782.2722469,17844.482438084
5081,111303,1113.03,16832231.5937053,18129.8700640978
5082,111304,1113.04,4708175.11919982,8773.51630579597
5083,111401,1114.01,9049528.94633305,12356.9405793175
5084,111402,1114.02,10453334.449788,13233.1028883582
5085,113101,1131.01,24410142.1209572,21415.0656618631
5086,113102,1131.02,39509556.7764694,24896.2429813521
5087,113211,1132.11,78395455.1037979,37917.3610190564
5088,113212,1132.12,10747373.6408449,14207.1399019654
5089,113213,1132.13,14001134.3861834,16855.5137288378
5090,113231,1132.31,44571715.7535245,42865.9366867095
5091,113232,1132.32,22234493.9185929,23602.8906028008
5092,113234,1132.34,11009759.1117022,16791.607731332
5093,113235,1132.35,15356123.055788,28934.9317607689
5094,113237,1132.37,51094986.590065,36475.0013678194
5095,113238,1132.38,7638426.46110819,10875.5283491289
5096,113239,1132.39,4673877.34019054,9752.94739408836
5097,113301,1133.01,24263386.436084,22624.9623748219
5098,113303,1133.03,44083459.1634022,31068.5549459757
5099,113322,1133.22,19231486.8486018,20151.4538286768
5100,113323,1133.23,7791572.47438062,11024.0087753349
5101,113324,1133.24,3492170.48998631,7928.50992995364
5102,113423,1134.23,7649036.11688561,11075.113964055
5103,113424,1134.24,18739915.4532306,20657.8941264065
5104,113425,1134.25,3651865.33343423,7977.65394427456
5105,113426,1134.26,20084002.2687057,21380.9111741307
5106,113427,1134.27,2790247.36364213,9033.41081889238
5107,113428,1134.28,13674399.846194,15162.1913228925
5108,115101,1151.01,41786208.7533179,26402.1772292485
5109,115103,1151.03,16345329.9010823,22256.5317322292
5110,115104,1151.04,10980251.0693234,20303.8029885145
5111,115202,1152.02,18742318.7959714,18760.630155376
5112,115203,1152.03,6509085.22958071,13182.1395253232
5113,115204,1152.04,8295903.27527948,12905.2672224423
5114,115301,1153.01,17664625.8636832,21878.4707218647
5115,115302,1153.02,9017482.49062146,12561.9484744612
5116,115401,1154.01,20505497.2649903,20433.094250886
5117,115403,1154.03,7574458.01570171,11112.5969812784
5118,115404,1154.04,10260635.4393811,13012.076259939
5119,117101,1171.01,8389682.4871634,11700.7286074817
5120,117102,1171.02,11180019.3184055,13727.9866466054
5121,117201,1172.01,8520574.34451159,13684.2556368505
5122,117202,1172.02,19522776.1571001,18091.282222006
5123,117301,1173.01,14335348.9482942,16182.3755057819
5124,117302,1173.02,22083821.592695,26192.5870152923
5125,117303,1173.03,19379948.1786904,18107.4786199256
5126,117404,1174.04,19003850.0865631,17700.6526594888
5127,117405,1174.05,2172354.12442596,5943.24060922743
5128,117407,1174.07,2134618.85589467,5893.7427384189
5129,117408,1174.08,4052431.76342153,8246.91611447533
5130,117510,1175.10,3606833.32078356,8181.30606055157
5131,117520,1175.20,3505710.38625784,7772.56395430919
5132,117530,1175.30,5993764.56202663,9950.76044500429
5133,119001,1190.01,11551196.3765504,13964.9842007896
5134,119003,1190.03,9166982.64424473,12879.8929801636
5135,119004,1190.04,9143478.71664151,12940.1039618594
5136,119201,1192.01,10248164.6472282,12948.1075654259
5137,119202,1192.02,10437023.7589266,16864.124326659
5138,119310,1193.10,4615163.00727017,10049.0507841441
5139,119320,1193.20,5345155.58039807,9352.13311676329
5140,119340,1193.40,1314702.02310372,4632.2786816256
5141,119341,1193.41,3512711.17951355,8359.54226200958
5142,119342,1193.42,2358167.72719136,6104.94540636161
5143,119400,1194.00,12071383.0789166,14163.2245162732
5144,119700,1197.00,14103382.1436128,20314.1754953047
5145,119801,1198.01,6590353.77050248,11988.802114166
5146,119802,1198.02,6778131.05251827,12322.6049986985
5147,119900,1199.00,11324965.7629674,14653.1422447344
5148,120010,1200.10,6087626.43405856,10236.1612152545
5149,120020,1200.20,5737369.79435088,12182.6274565463
5150,120030,1200.30,4065310.82168917,8102.20708802908
5151,120103,1201.03,1490376.19163902,5636.21120403071
5152,120104,1201.04,4885243.28840346,10176.5522871692
5153,120105,1201.05,5929585.80796553,15758.5905298516
5154,120106,1201.06,2220341.07848398,6072.52820832901
5155,120107,1201.07,2231008.49519463,6075.28674961415
5156,120108,1201.08,4164596.89485101,8449.48423265012
5157,120300,1203.00,18498149.9613578,18531.0955684504
5158,120400,1204.00,11471575.8272398,17339.858463364
5159,121010,1210.10,21950722.9703137,19497.9106704076
5160,121020,1210.20,8874538.57779908,13130.169406492
5161,121101,1211.01,5082880.93796111,10732.4573616313
5162,121102,1211.02,81152096.0007252,37632.8664167668
5163,121210,1212.10,21817534.974555,18371.9891275187
5164,121221,1212.21,5427461.15030647,11054.1635780545
5165,121222,1212.22,14367773.7413287,18211.0704318177
5166,121600,1216.00,12264569.0205789,16346.0748588647
5167,121801,1218.01,5227512.55722406,10560.2136593237
5168,121802,1218.02,10232438.8910598,14912.8139010269
5169,121900,1219.00,18163072.2884551,20093.9505415134
5170,122000,1220.00,35118997.7562534,30499.592223736
5171,122120,1221.20,7747578.4857937,13365.7622160883
5172,122121,1221.21,4433980.59525011,12008.0444924636
5173,122122,1221.22,11114633.3990592,15332.0170298679
5174,122200,1222.00,18349521.7694314,19428.0016173764
5175,122410,1224.10,7609489.68987507,11117.4625056143
5176,122420,1224.20,9285646.47854755,12386.8044764434
5177,123010,1230.10,10933643.6922577,13636.3943082632
5178,123020,1230.20,6088161.97388456,9872.88288865208
5179,123103,1231.03,9712010.11803461,13419.0532050529
5180,123104,1231.04,8413572.18427699,11537.8647821021
5181,123203,1232.03,6324538.12579567,12755.8729622478
5182,123204,1232.04,3489507.86249498,7926.03455976933
5183,123205,1232.05,8155654.96171305,11532.5869292117
5184,123206,1232.06,6488594.38921514,10269.8071475175
5185,123301,1233.01,14029676.3810909,17682.8630893228
5186,123303,1233.03,6817488.2497435,13030.0571627284
5187,123304,1233.04,9461746.2523526,13423.3466831855
5188,123410,1234.10,5350547.0481546,9501.50657663894
5189,123420,1234.20,8467590.22515626,14727.1048177952
5190,123510,1235.10,8594011.61547678,12270.673720152
5191,123520,1235.20,5498246.8782695,12490.8750552474
5192,123601,1236.01,16494226.6348902,18301.2828578319
5193,123602,1236.02,9985609.13483932,14187.4567035871
5194,123700,1237.00,10250472.041375,13103.9364375155
5195,123800,1238.00,13884988.8552436,17448.9974708529
5196,123901,1239.01,13897463.0246925,15030.3545512086
5197,123902,1239.02,7151226.42760245,11695.1972179994
5198,124000,1240.00,14531311.7362919,16693.3407116823
5199,124102,1241.02,6987656.39438035,10573.0629552159
5200,124103,1241.03,3486761.99663424,7921.9777290892
5201,124104,1241.04,3492065.21291494,7927.1184971006
5202,124105,1241.05,3493113.8088015,7929.03926551355
5203,124201,1242.01,10468289.9276072,13209.6382290111
5204,124203,1242.03,3490019.01386515,7927.10064520667
5205,124204,1242.04,3491073.75709108,7925.26419238832
5206,124300,1243.00,9590065.30189385,12560.9080010742
5207,124400,1244.00,10500728.1500293,13194.5153476227
5208,124500,1245.00,8695824.57175791,14054.8987604558
5209,124600,1246.00,12055244.0381722,14291.048268105
5210,124700,1247.00,14659153.1958227,17855.5099676393
