geoid,geoid20,year,denom_occupied_housing,overcrowded_hh_count,overcrowded_hh_pct
1400000US06037113238,6037113238,2022,1450,169,11.655172
1400000US06037113239,6037113239,2022,890,45,5.05618
1400000US06037113301,6037113301,2022,1638,60,3.6630037
1400000US06037113303,6037113303,2022,1284,23,1.7912773
1400000US06037113322,6037113322,2022,1512,47,3.1084657
1400000US06037113323,6037113323,2022,1499,114,7.6050701
1400000US06037113324,6037113324,2022,992,348,35.080647
1400000US06037113423,6037113423,2022,866,70,8.0831413
1400000US06037113424,6037113424,2022,1073,46,4.2870455
1400000US06037113425,6037113425,2022,1370,382,27.883211
1400000US06037113426,6037113426,2022,731,51,6.9767442
1400000US06037113427,6037113427,2022,951,77,8.0967407
1400000US06037113428,6037113428,2022,1087,138,12.695492
1400000US06037115101,6037115101,2022,1795,17,.94707519
1400000US06037115103,6037115103,2022,8,0,0
1400000US06037115104,6037115104,2022,1976,226,11.437247
1400000US06037115202,6037115202,2022,2069,104,5.0265827
1400000US06037115203,6037115203,2022,1036,133,12.837838
1400000US06037115204,6037115204,2022,1575,99,6.2857141
1400000US06037115301,6037115301,2022,1577,234,14.838301
1400000US06037115302,6037115302,2022,1054,184,17.457306
1400000US06037115401,6037115401,2022,1947,432,22.187981
1400000US06037115403,6037115403,2022,1059,196,18.508026
1400000US06037115404,6037115404,2022,851,93,10.92832
1400000US06037117101,6037117101,2022,1465,227,15.494881
1400000US06037117102,6037117102,2022,802,83,10.349127
1400000US06037117201,6037117201,2022,1219,238,19.5242
1400000US06037117202,6037117202,2022,923,51,5.5254602
1400000US06037117301,6037117301,2022,1101,0,0
1400000US06037117302,6037117302,2022,1593,86,5.3986192
1400000US06037117303,6037117303,2022,1178,9,.76400679
1400000US06037117404,6037117404,2022,1389,160,11.519078
1400000US06037117405,6037117405,2022,855,271,31.695906
1400000US06037117407,6037117407,2022,1007,422,41.906654
1400000US06037117408,6037117408,2022,718,290,40.389973
1400000US06037117510,6037117510,2022,1035,335,32.367149
1400000US06037117520,6037117520,2022,1071,435,40.616245
1400000US06037117530,6037117530,2022,1711,511,29.865576
1400000US06037119001,6037119001,2022,1020,195,19.117647
1400000US06037119003,6037119003,2022,844,321,38.033176
1400000US06037119004,6037119004,2022,715,55,7.6923075
1400000US06037119201,6037119201,2022,874,334,38.215103
1400000US06037119202,6037119202,2022,1134,388,34.215168
1400000US06037119310,6037119310,2022,1232,97,7.8733768
1400000US06037119320,6037119320,2022,1283,268,20.888542
1400000US06037119340,6037119340,2022,1012,422,41.699604
1400000US06037119341,6037119341,2022,857,73,8.5180864
1400000US06037119342,6037119342,2022,786,116,14.758269
1400000US06037119400,6037119400,2022,1139,291,25.548727
1400000US06037119700,6037119700,2022,1247,121,9.7032881
1400000US06037119801,6037119801,2022,631,132,20.919176
1400000US06037119802,6037119802,2022,791,131,16.561316
1400000US06037119900,6037119900,2022,1233,210,17.03163
1400000US06037120010,6037120010,2022,763,155,20.314548
1400000US06037120020,6037120020,2022,1259,379,30.103256
1400000US06037120030,6037120030,2022,709,278,39.210155
1400000US06037120103,6037120103,2022,838,346,41.288784
1400000US06037120104,6037120104,2022,803,146,18.181818
1400000US06037120105,6037120105,2022,853,134,15.709262
1400000US06037120106,6037120106,2022,1312,397,30.259146
1400000US06037120107,6037120107,2022,1124,429,38.167259
1400000US06037120108,6037120108,2022,1424,202,14.185393
1400000US06037120300,6037120300,2022,1488,298,20.026882
1400000US06037120400,6037120400,2022,2086,233,11.169703
1400000US06037121010,6037121010,2022,1206,292,24.212273
1400000US06037121020,6037121020,2022,1075,104,9.6744184
1400000US06037121101,6037121101,2022,989,158,15.975733
1400000US06037121102,6037121102,2022,772,82,10.621761
1400000US06037121210,6037121210,2022,764,221,28.926702
1400000US06037121221,6037121221,2022,517,73,14.119923
1400000US06037121222,6037121222,2022,1243,355,28.559937
1400000US06037121600,6037121600,2022,779,45,5.7766366
1400000US06037121801,6037121801,2022,1157,279,24.114088
1400000US06037121802,6037121802,2022,695,116,16.690647
1400000US06037121900,6037121900,2022,1036,118,11.389961
1400000US06037122000,6037122000,2022,1577,115,7.2923274
1400000US06037122120,6037122120,2022,1185,171,14.43038
1400000US06037122121,6037122121,2022,788,288,36.548222
1400000US06037122122,6037122122,2022,655,166,25.343512
1400000US06037122200,6037122200,2022,876,201,22.945206
1400000US06037122410,6037122410,2022,1206,354,29.353233
1400000US06037122420,6037122420,2022,1313,561,42.726582
1400000US06037123010,6037123010,2022,997,284,28.485456
1400000US06037123020,6037123020,2022,684,109,15.935673
1400000US06037123103,6037123103,2022,1596,155,9.7117796
1400000US06037123104,6037123104,2022,1612,205,12.717121
1400000US06037123203,6037123203,2022,997,342,34.30291
1400000US06037123204,6037123204,2022,1041,295,28.338137
1400000US06037123205,6037123205,2022,774,197,25.452196
1400000US06037123206,6037123206,2022,791,195,24.652338
1400000US06037123301,6037123301,2022,1651,75,4.5427012
1400000US06037123303,6037123303,2022,879,139,15.813424
1400000US06037123304,6037123304,2022,1767,186,10.526316
1400000US06037123410,6037123410,2022,1216,167,13.733553
1400000US06037123420,6037123420,2022,1558,201,12.901155
1400000US06037123510,6037123510,2022,1602,392,24.469414
1400000US06037123520,6037123520,2022,763,196,25.688074
1400000US06037123601,6037123601,2022,1915,147,7.6762404
1400000US06037123602,6037123602,2022,1195,91,7.6150627
1400000US06037123700,6037123700,2022,1698,150,8.8339224
1400000US06037123800,6037123800,2022,2255,96,4.2572064
1400000US06037123901,6037123901,2022,1394,190,13.629842
1400000US06037123902,6037123902,2022,1112,81,7.2841725
1400000US06037124000,6037124000,2022,2174,0,0
1400000US06037124102,6037124102,2022,1457,120,8.2361012
1400000US06037124103,6037124103,2022,567,114,20.10582
1400000US06037124104,6037124104,2022,1053,188,17.853752
1400000US06037124105,6037124105,2022,840,201,23.928572
1400000US06037124201,6037124201,2022,1061,164,15.457116
1400000US06037124203,6037124203,2022,772,103,13.341969
1400000US06037124204,6037124204,2022,934,123,13.169165
1400000US06037124300,6037124300,2022,1196,155,12.959867
1400000US06037124400,6037124400,2022,1660,102,6.1445785
1400000US06037124500,6037124500,2022,1216,4,.32894737
1400000US06037124600,6037124600,2022,1252,0,0
1400000US06037124700,6037124700,2022,2452,16,.65252852
1400000US06037124902,6037124902,2022,1537,192,12.491867
1400000US06037124903,6037124903,2022,1601,134,8.3697691
1400000US06037125101,6037125101,2022,2113,66,3.1235211
1400000US06037125102,6037125102,2022,834,36,4.3165469
1400000US06037125200,6037125200,2022,1874,132,7.0437565
1400000US06037125310,6037125310,2022,1962,170,8.664628
1400000US06037125321,6037125321,2022,1409,129,9.1554298
1400000US06037125322,6037125322,2022,1417,49,3.45801
1400000US06037125402,6037125402,2022,2068,68,3.2882011
1400000US06037125403,6037125403,2022,1412,49,3.4702549
1400000US06037125404,6037125404,2022,1619,71,4.3854232
1400000US06037125501,6037125501,2022,1541,91,5.9052563
1400000US06037125502,6037125502,2022,1942,64,3.2955716
1400000US06037125600,6037125600,2022,1273,12,.94265515
1400000US06037127102,6037127102,2022,1543,303,19.63707
1400000US06037127103,6037127103,2022,1288,258,20.031055
1400000US06037127104,6037127104,2022,1397,423,30.279169
1400000US06037127210,6037127210,2022,1883,255,13.54222
1400000US06037127220,6037127220,2022,1697,496,29.22805
1400000US06037127300,6037127300,2022,1381,169,12.237509
1400000US06037127400,6037127400,2022,1914,348,18.181818
1400000US06037127520,6037127520,2022,1497,479,31.997328
1400000US06037127603,6037127603,2022,925,226,24.432432
1400000US06037127604,6037127604,2022,1443,260,18.018019
1400000US06037127605,6037127605,2022,1171,365,31.169941
1400000US06037127606,6037127606,2022,1083,238,21.975992
1400000US06037127711,6037127711,2022,1135,194,17.09251
1400000US06037127712,6037127712,2022,1524,261,17.125984
1400000US06037127803,6037127803,2022,1622,347,21.393341
1400000US06037127804,6037127804,2022,1632,369,22.610294
1400000US06037127805,6037127805,2022,1206,168,13.930348
1400000US06037127806,6037127806,2022,1261,186,14.750198
1400000US06037127910,6037127910,2022,1513,389,25.710508
1400000US06037127920,6037127920,2022,1496,161,10.762033
1400000US06037128101,6037128101,2022,1076,92,8.5501862
1400000US06037128102,6037128102,2022,1600,387,24.1875
1400000US06037128210,6037128210,2022,1628,370,22.727272
1400000US06037128220,6037128220,2022,1210,179,14.793388
1400000US06037128302,6037128302,2022,1463,486,33.219414
1400000US06037128303,6037128303,2022,1117,383,34.288273
1400000US06037128400,6037128400,2022,1829,97,5.3034444
1400000US06037128500,6037128500,2022,2091,52,2.4868484
1400000US06037128601,6037128601,2022,1733,346,19.965378
1400000US06037128602,6037128602,2022,1278,8,.62597811
1400000US06037128703,6037128703,2022,1631,12,.73574495
1400000US06037128704,6037128704,2022,958,23,2.400835
1400000US06037128801,6037128801,2022,1969,74,3.7582529
1400000US06037128802,6037128802,2022,1964,60,3.0549898
1400000US06037128910,6037128910,2022,1870,49,2.6203208
1400000US06037131021,6037131021,2022,1016,427,42.027557
1400000US06037131022,6037131022,2022,1029,196,19.047619
1400000US06037131023,6037131023,2022,824,135,16.383495
1400000US06037131024,6037131024,2022,1088,182,16.727942
1400000US06037131100,6037131100,2022,1083,32,2.9547553
1400000US06037131200,6037131200,2022,1216,90,7.4013157
1400000US06037131300,6037131300,2022,1196,108,9.0300999
1400000US06037131400,6037131400,2022,1816,219,12.059471
1400000US06037131600,6037131600,2022,1320,178,13.484848
1400000US06037131701,6037131701,2022,1864,313,16.791845
1400000US06037131702,6037131702,2022,1258,146,11.605723
1400000US06037131801,6037131801,2022,992,289,29.133064
1400000US06037131802,6037131802,2022,764,73,9.5549736
1400000US06037131900,6037131900,2022,1357,42,3.0950627
1400000US06037132001,6037132001,2022,1197,45,3.7593985
1400000US06037132002,6037132002,2022,1184,72,6.0810809
1400000US06037132101,6037132101,2022,1568,226,14.413265
1400000US06037132102,6037132102,2022,2101,252,11.994288
1400000US06037132301,6037132301,2022,1353,346,25.572802
1400000US06037132302,6037132302,2022,958,127,13.256785
1400000US06037132501,6037132501,2022,1292,200,15.479877
1400000US06037132502,6037132502,2022,1277,42,3.2889585
1400000US06037132700,6037132700,2022,1655,272,16.435045
1400000US06037132900,6037132900,2022,1264,175,13.844936
1400000US06037133000,6037133000,2022,1413,90,6.3694267
1400000US06037133101,6037133101,2022,642,33,5.1401868
1400000US06037133102,6037133102,2022,1360,266,19.558823
1400000US06037134001,6037134001,2022,946,256,27.061312
1400000US06037134002,6037134002,2022,1196,269,22.491638
1400000US06037134101,6037134101,2022,1348,300,22.255194
1400000US06037134103,6037134103,2022,1316,201,15.273556
1400000US06037134104,6037134104,2022,1301,341,26.210608
